start_time,end_time,sentence,filename
714.400s,751.700s,"people that I've met conversations that I've had with people, you know, like certain conversations that I've had with people I would not have them today if it wasn't for the change that I decided to make in my life and you know and even just job opportunities, you know, obviously, you know, when you get hired into a place, you know people like people with confidence and I know that before I didn't have all that confidence that I would have had, you know Isn't so simple as something that would I have an interview and something like losing weight did that for me?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\2A0aPCkOIOCGBrMyTWeOn0.json
751.200s,777s,"And you know, there's there's so many people that messaged me on a daily basis, you know, just letting me know that that I motivate them and that you know, something as simple as I did for myself had, you know, it's make it's made them do something so simple for themselves and the reason why I say so simple is because cuz You know what?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\2A0aPCkOIOCGBrMyTWeOn0.json
853.900s,870s,"I have my flaws and I went through the things that I did that have made me the person that I am today and you know, and like I said, you know, if something like that Didn't stop me what's stopping you?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\2A0aPCkOIOCGBrMyTWeOn0.json
12.900s,17.600s,So someone asked what are your deal-breakers?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\4V3FsBCPMGfBPCoYPJ6h63.json
45.800s,70.600s,"I don't want to be the same height or taller and another deal breaker is if you're not goal-oriented then I want nothing to do with it because Who doesn't want goes in life, like what the fuck but another question is, what was your longest relationship?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\4V3FsBCPMGfBPCoYPJ6h63.json
98.100s,114.900s,I guess you could say at the maturity level that I am now when it comes to really being in a relationship and our third question is have you ever been cheated on and have you ever cheated?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\4V3FsBCPMGfBPCoYPJ6h63.json
196.300s,202.300s,And then another question is what is the perfect date?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\4V3FsBCPMGfBPCoYPJ6h63.json
320.200s,341.700s,"So I I would say, you know, if there's some things that you feel like you're missing about yourself focus on those things and you know within time then you eventually you know, you get over the person and the last question is what is your opinion on polygamous relationships?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_051ePPjoycL8acPBsBj8sf\4V3FsBCPMGfBPCoYPJ6h63.json
325.100s,326.500s,"Well, what else can I do?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\0A5BLuSdVS2uQCC8uiuO2N.json
326.300s,327.900s,How can I keep this going?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\0A5BLuSdVS2uQCC8uiuO2N.json
354.800s,359.300s,And now is that the most healthy option?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\0A5BLuSdVS2uQCC8uiuO2N.json
59.400s,66.200s,question. He said why do you think that is why didn't you do it like this with the older boys?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1bx4isy6TNfCKWPKW4G2Wc.json
681.200s,687.900s,Have you ever noticed that the people that constantly talk about the bad things in their lives see?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1hXsq3u4W8L4M6HvemPqi9.json
1100.900s,1105.100s,Because what are they going to do?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1hXsq3u4W8L4M6HvemPqi9.json
1405.900s,1411.500s,Or beaten down in any way shape or form?,C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1hXsq3u4W8L4M6HvemPqi9.json
0.000s,12.800s,"many calories do we need to eat for weight loss that's a magic question, isn't it?",C:\Users\Youjing Yu\PycharmProjects\confidence_css\5\show_052sfAvSoheMErtzsSSSDh\1x6QQ2pfTD4fFeROB0mjH5.json
