start_time,end_time,sent_end_time,sentence,filename,category,inter_freq
857.800s,862.400s,862.500s,would you say is the Mantra or the ideology that you've built then the team that that you work with?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2l3EepKJbISFUERKnvUplY/68WJwT3PPzDS5uEjduhrTV.json,Business,0.0017
4477.400s,4482.400s,4483.800s,so much have we had this conversation with this damn book before different ones?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
1312.500s,1319.400s,1319.400s,talk about the pyramid because you came up with the stuff that The DaVinci and what what's your what's your newest take from?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
2230.200s,2233.500s,2233.500s,why do you think how do you think this works?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
3688.300s,3694.200s,3694.200s,"I know exactly so it's like if you think you can or you think you can treat me, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
690.500s,694.700s,695s,was discovered you you don't invent pie right?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
1638.600s,1642.900s,1643s,"we're talking about biology here, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
823.700s,826.900s,827.400s,"are Pi Alpha Phi golden number, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
3734.700s,3738.700s,3739s,know what I was thinking remember how last time we were talking about that thing?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
1856.700s,1865.700s,1865.700s,"but but basically what it talks about is man being separated into fourteen parts and everything DaVinci wrote was Mirror Backwards, right?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
3198.500s,3214.200s,3214.800s,"and feel total compassion for his feeling and it really had a huge impact on me for weeks after this just had a son and I just had to sign it and I start thinking about wow, how would I deal with something like that?",Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
2233.900s,2247.400s,2247.500s,do you think why do you think out of all the people that want to talk to you that day you happen to be in New York and wind why why why are all these new people now who have never been exposed to this level of mathematics now getting to like hear you?,Spotify-Podcasts/podcasts-no-audio-13GB/decompressed-transcripts/2/L/show_2lhHHTwNSFUcQHMyl8rjrf/6oaqqkZN4DaOxudwgspbqQ.json,Religion & Spirituality,0.00193
