audio_url,score1,score2,score3,average
7/X_show_7xFfmQ6G7cc97w7R2aHlQz_11wRhQQdWP0P9oABh0xzpi_1450.1.mp3,3.5,4,4,3.83333333333333
5/3_show_53XeIWnNQRvrCQDJPjg1wJ_52xJPmOkVPJnxlxWRFLSiL_204.6.mp3,3.5,5,5,4.5
5/B_show_5bKySh6jw9C0IWjaMCkTMo_05rn7tUbORUgB2dHtrmK21_969.3.mp3,3.5,0.5,2.5,2.16666666666666
5/W_show_5WXjXJAGlrSFoNVPiS7CMs_70wf1lkNNZ8tA5A6dgjZWj_1111.6.mp3,4,0.5,4.5,3
5/6_show_56CjYLQWyMx1MkOEQmlubi_1QuGofDKZb7579b1etuykt_1086.7.mp3,3.5,5,5,4.5
5/D_show_5DXtzUjxzCrdyCBdMmrshV_76FshIsvsECr3qAyffvOBk_1513.9.mp3,3.5,3.5,3.5,3.5
7/G_show_7gpmPhrFM2SWtJLNNohB8I_2TTcyOrESkQmXo2LHLOsDs_670.1.mp3,4,4,3.5,3.83333333333333
5/C_show_5CnDmMUG0S5bSSw612fs8C_0479mU0vA9DP8mOztaFvhy_610.6.mp3,4,5,5,4.66666666666666
5/F_show_5fgBM7upQCA2x0Lz3tWcet_4jRsLmravy0wWOCBOilS0i_1772.8.mp3,2.5,1,2.5,2
5/3_show_53XeIWnNQRvrCQDJPjg1wJ_7tordIndoZsUCJ6ZmzUl5t_1616.9.mp3,3.5,4,3.5,3.66666666666666
1/Q_show_1QUlokKi703TBx9lJmizB8_3rwYYyHmXUURJrBcm8PcsF_1347.1.mp3,3.5,1,4,2.83333333333333
1/D_show_1DNVq7jHDb2OmTgsGvXdlp_6OWparkRu6AKJEQtObZIY6_576.0.mp3,3.5,5,4,4.16666666666666
1/J_show_1je6sEPOdtRHbuSz81aIdC_5T7wbAFITGkbPsk4vbtV7p_238.2.mp3,3.5,0,4,2.5
1/8_show_18BwQFE9t9oKG6NhAWIOkU_7zufhR0BAEK4m0UUANXu8v_464.1.mp3,0.5,5,4,3.16666666666666
1/M_show_1m5q6itiKFVqNEKppy9VKo_3s3pZ66JHshFdnhjmrXAOS_1434.0.mp3,3,1.5,4,2.83333333333333
1/P_show_1PGN4ilb4aoWKkB7FNSLsx_01zWozUbMY3ISJRk2FhFCi_2558.4.mp3,0.5,0.5,4.5,1.83333333333333
1/Q_show_1q3n4RxgH2XJHOkt3KS0Mu_1eK9tGXqMEkmH8ls5Y8BEr_1031.9.mp3,0,0,4.5,1.5
1/4_show_144aZaRiTBW0V053EU4mSk_1pO7casLAEjHzWsJEEjcYK_1359.2.mp3,1,1.5,4,2.16666666666666
1/4_show_14K0GXwhoCsV356kaBiwRK_133bivqZsGMdW2dtv2FcgX_777.8.mp3,3,5,4.5,4.16666666666666
1/N_show_1Ng0k7EW7Le0cgvoTncM0z_0jFt7HDvjqjBiHfKEFeW0B_773.0.mp3,2,2,4,2.66666666666666
7/A_show_7AbkrMaDISm8UpX0Bk1qcx_3mEpwMCna61zZidlUlq5hf_37.9.mp3,4,4.5,4,4.16666666666666
5/3_show_53XeIWnNQRvrCQDJPjg1wJ_52xJPmOkVPJnxlxWRFLSiL_804.5.mp3,5,5,3.5,4.5
5/C_show_5c26B28vZMN8PG0Nppmn5G_3ujjIbe8EuyUHENrHjdgRj_35.9.mp3,3.5,2,4,3.16666666666666
5/D_show_5dWLlNlMyn93XuNe40X0Dz_19mCEREZlPevlIUNX955xu_1521.9.mp3,3.5,3.5,4,3.66666666666666
5/E_show_5E2C3RL2mfZK2PdCBO9F5I_4W90bAZbxbL2OnWAcmdNnv_214.8.mp3,4.5,5,4.5,4.66666666666666
5/A_show_5aWTKGiBnayQH2TQgkAnSg_7GYrSU135A75iYYcZ0WI0n_1330.7.mp3,4.5,3,4.5,4
5/C_show_5cj7bhNWmb8DIp8PbBXES4_1k79UH7AdG7Hn5hkIW0Rrq_1176.1.mp3,3,2.5,4,3.16666666666666
5/D_show_5dWLlNlMyn93XuNe40X0Dz_4LrK3P0FPQmvG1zOVfeqMV_790.9.mp3,4.5,3,4,3.83333333333333
4/P_show_4pywkMoleb20OQk6XGOKNH_6IL2yA1D6WeHNRMGYNUHbL_1097.8.mp3,1,1,4,2
4/K_show_4kkmx3UhWRBAhpLGH8DIA0_2DKKaP14zqhM2SeMkJZUse_4415.5.mp3,2.5,3,4.5,3.33333333333333
4/4_show_44pI1bcAKbrA2fLZpwJF4X_38Bvag2GtKLPdaZDnqBGQd_3115.1.mp3,4.5,5,4,4.5
4/V_show_4v5vy3S6YyhkFfPX79nIBp_4G7CHvkAdJi16hVmLAKC2r_1343.5.mp3,4.5,2,4.5,3.66666666666666
7/H_show_7HGtIhqRRciMLj9KfnpUTx_4qiXJJNbWyHTzEVEbvLdX1_556.5.mp3,2.5,4,3.5,3.33333333333333
4/I_show_4iax1kbINZW0YbQmoNwysd_2wJfsWhQa007Tii0DR7sD0_1574.7.mp3,4.5,3,4,3.83333333333333
4/Q_show_4qGFqwUaSYozKAH18FOWZU_72Es0R7U0wHJDeLKO3d2hq_1566.5.mp3,3,2,4.5,3.16666666666666
4/Q_show_4qPnBYJhKgvlIlCWD7A8Lb_0G9PQcxvOsfG94yXlveDS2_2029.1.mp3,1.5,1.5,4,2.33333333333333
4/P_show_4pywkMoleb20OQk6XGOKNH_6IL2yA1D6WeHNRMGYNUHbL_885.3.mp3,4,3.5,4,3.83333333333333
6/4_show_643N39FefZv0PvQ3GMmdTw_217LqHS8t6XSEbonVFzSb1_701.7.mp3,2,3.5,4,3.16666666666666
6/E_show_6epeRhY6jFLsUbQ4sAFO8y_3Q4sLj9DdlrquOQqpK3zi9_3763.6.mp3,1.5,2,2.5,2
6/V_show_6VDCSNtz7QEkrV88Ripgwe_27NP9zsDmOj24rWxnUFdvP_593.5.mp3,1.5,4,4,3.16666666666666
6/3_show_63htShmtfDi2UGrZ7xSHZg_3ebb5Mad0JZgBQZIfdBhcC_2612.4.mp3,2.5,1.5,4,2.66666666666666
